PRIMARY_KEY,CUSTOMER_ID,PR_ID,CUSTOMER,CONCEPT,APPROVER,APP_STATUS,APP_NOTES,APP_DATE,AUDIT_FLAG,SR,PRICE_RULE,VERSION_DATE,SHAREPOINT,ORIG_MOD,ADD_MOD,SUBMIT_DATE,PACKET,SALES_POSTED_OT,SYS_REP,NID,APP_BASE,BASE_NOTES,PTF,DPM_ASS,EXP_DATE,ADJ_DATE,ADJ_NOTES,MOD_TYPE,PRN_ATTACHED,MTRCS_SUBMIT,MTRCS_NOTES,MTRCS_SPLITS,MTRCS_BASE,MTRCS_FREQ,MTRCS_UPCH,MTRCS_AUDIT_N,MTRCS_ITM,MTRCS_BACKUP,MTRCS_DOWNLOAD,MTRCS_POSTED,MTRCS_GRADE
41909,6261.0,lijnjb,LKJLKJLKJLKJLKJLKJLKJLKJLKJLKJ,CENTER COURT PIZZA & BREW LCC,,,,,NO,,&CCPIZZA,2023-10-18,,2023-10-17,,,CCPIZZA,,,,,,NO,JANIELLE FRETT,2039-12-31 00:00:00,,,,NO,PASS,PASS,,,,,PASS,,,,,0.2
41908,798.0,k;h,ASDF,COPELANDS 1.2 NO PRN DPM PR,,,,,NO,,&COPELNA,2023-10-23,,2023-10-17,,,COPELAND,,,,,,NO,CYNTHIA KREUL,2039-12-31 00:00:00,,,,NO,PASS,PASS,,,,,PASS,,,,,0.2
41905,1234.0,alsdkfj,ASDF,SODEXO TIER 4 DSSI,,,,,NO,,&SDXT4D,2023-10-18,,2023-10-17,,,SODEXO4,,,,,,NO,GINA KILPATRICK,2039-12-31 00:00:00,,,,NO,PASS,PASS,,,,,PASS,,,,,0.2
41904,0.0,0-&LEEDS,lkjlkj,LEEDS PUBLIC HOUSE,MARIELLE HENDRIX,COMPLETED,,2023-10-17,NO,38935067,&LEEDS,2023-11-01,Leeds Public House,2023-10-17,,2023-10-17 00:00:00,LEEDS,YES,68,C068LSPH,NO,,NO,JAKI MCCONKEY,2026-11-01 00:00:00,2024-11-01 00:00:00,3% ANNUAL ,NEW,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1.0
41903,,asd,,CASA GARCIA,,,,,NO,,&CASAGAR,2023-10-18,,2023-10-17,,,CASAGARC,,,,,,NO,DAVID BROUSSARD,2039-12-31 00:00:00,,,,NO,PASS,PASS,,,,,PASS,,,,,0.2
41902,702.0,7,BIG BACH,JUKES,,,,,NO,,&BGBACH,2023-10-23,,2023-10-17,,,BIGBACH,,,,,,NO,CYNTHIA KREUL,2039-12-31 00:00:00,,,,NO,PASS,PASS,,,,,PASS,,,,,0.2
41901,1136.0,1136-&BSALAD,RESTAURANT PARTNERS,BIG SALAD FRANCHISING LCC,MARIELLE HENDRIX,IN PROGRESS,,,NO,,&BSALAD,2023-10-23,,2023-10-17,,,,,,,,,NO,JANIELLE FRETT,2039-12-31 00:00:00,,,,YES,PASS,PASS,,,,,PASS,,,,,0.2
41900,909.0,909-1,HASH HOUSE,HASH HOUSE A GO GO,,,,,NO,,&HASHOUS,2023-10-18,,2023-10-17,,,HASHHOUS,,,,,,NO,ELIAS RHODES,2039-12-31 00:00:00,,,,YES,PASS,PASS,,,,,PASS,,,,,0.2
41898,0.0,0-&STAGOX,STAGGERING OX LCC DPM,STAGGERING OX LCC DPM,Dane Casteel,COMPLETED,,,NO,38840358,&STAGOX,2023-10-17,YES,2023-10-16,2023-10-17,2023-10-16 00:00:00,C043STGG,NO,043,requested,NO,,NO,ROBERT CRAIG,2039-12-31 00:00:00,2024-10-16 00:00:00,annual fee per case update,NEW,YES,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.95
41897,0.0,0-&PAPAJOE,PAPA JOES IACOMINIS,PAPA JOES IACOMINIS DPM LCC,TRACEY SMITH,COMPLETED,,2023-10-17,NO,38907874,&PAPAJOE,2023-10-17,Papa Joes Iacominis,2023-10-16,,2023-10-16 00:00:00,PAPAJOES,NO,15,being created,NO,,NO,CYNTHIA KREUL,2026-10-01 00:00:00,,none,NEW,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1.0
41896,0.0,0-&SANDYGM,REV RACING SANDYS GAMING,REV RACING SANDYS GAMING,TRACEY SMITH,COMPLETED,,2023-10-16,NO,38893131,&SANDYGM,2023-10-22,Sandys Gaming - Revolutionary Racing Kentucky,2023-10-16,,2023-10-16 00:00:00,REVRACIN,NO,19,being created,NO,,NO,DAVID BROUSSARD,2026-10-22 00:00:00,2024-10-22 00:00:00,3% Annual Increase,NEW,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1.0
41895,,,,&GTD TENNESSEE LLC DPM LCC,,,,,NO,,&GTDTENN,2023-11-14,,2023-10-16,,,GTDTENN,,,,,,NO,JANIELLE FRETT,2039-12-31 00:00:00,,,,YES,PASS,PASS,,,,,PASS,,,,,0.2
41894,0.0,0-&REDLDGR,RED LODGE GRIZZLY PEAK,RED LODGE GRIZZLY PEAK,Dane Casteel,COMPLETED,,,NO,,&REDLDGR,2023-10-17,YES,2023-10-16,,2023-10-16 00:00:00,REDLODGR,YES,043,C043STGG,NO,,NO,LEAH GRANZOW,2039-12-31 00:00:00,2024-10-02 00:00:00,annual fee per case update,NEW,NO,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1.0
41889,,,,UNIVERSAL JOINT GRP DPM PR,,,,,NO,,&UJG,2023-11-14,,2023-10-16,,,UJG,,,,,,NO,DESIREE RICE,2039-12-31 00:00:00,,,,YES,PASS,FAIL,,,,,PASS,,,,,0.15
41887,,,,&RED PAINT HOSPITALITYC056RPHG,,,,,NO,,&RPAINTH,2023-10-18,,2023-10-16,,,C056RPHG,,,,,,NO,CYNTHIA KREUL,2039-12-31 00:00:00,,,,YES,PASS,PASS,,,,,PASS,,,,,0.2
41885,6554.0,6554-,BEACH MOUNTAIN DINER,BEACH DINER,,,,,NO,,&BEACHDN,2023-12-01,,2023-10-16,,,BEACHDIN,,,,,,NO,AUSTIN DWORSKY,2039-12-31 00:00:00,,,,YES,PASS,PASS,,,,,PASS,,,,,0.2
41884,,,,CORPORATE HOSP HOUSING LCC,,,,,NO,,&CORPHSP,2023-10-17,,2023-10-16,,,CORPHOSP,,,,,,NO,AUSTIN DWORSKY,2039-12-31 00:00:00,,,,NO,PASS,PASS,,,,,PASS,,,,,0.2
41883,,,,PIROPOS NO PRN DPM LCC,,,,,NO,,&PIROPOS,2023-10-22,,2023-10-16,,,C057PRPS,,,,,,NO,CYNTHIA KREUL,2039-12-31 00:00:00,,,,NO,PASS,PASS,,,,,PASS,,,,,0.2
41882,,,,HOUSE OF JUJU DPM LCC,,,,,NO,,&HSEJUJU,2023-10-18,,2023-10-16,,,HSEJUJU,,,,,,NO,CYNTHIA KREUL,2039-12-31 00:00:00,,,,YES,PASS,PASS,,,,,PASS,,,,,0.2
41881,,,,JOHOVAHS WITNESS,,,,,NO,,&JEHOVAH,2023-10-17,,2023-10-16,,,C025RGJW,,,,,,NO,AUSTIN DWORSKY,2039-12-31 00:00:00,,,,NO,PASS,PASS,,,,,PASS,,,,,0.2
41880,,,,TARKA INDIAN KTCHN NO PRN PR,,,,,NO,,&TARKA,2023-10-16,,2023-10-14,,,TARKA,,,,,,NO,JOHN RUSHBY,2039-12-31 00:00:00,,,,NO,FAIL,PASS,,,,,PASS,,,,,0.1
41879,1760.0,1760-1,SOUTHWEST FOODSERVICE EXCELLENCE (SFE),SOUTHWEST FDSVC EXCELL DPM PR,DUANA STEWART,COMPLETED,Corrections to SUPCs and frequency,2023-10-13,YES,37665146,&SWFSE,2023-09-16,Southwest Foodservice Excellence,2023-10-13,,2023-09-15 00:00:00,SWFDSVC,YES,Kelsie Burrer,SWFX,NO,,NO,MICHELE BROWN,2039-12-31 00:00:00,,,AMENDMENT,YES,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,0.75
41877,1145.0,1145-1,ROMANOS,ROMANOS MACARONI GRILL DPM PR,DEBBIE GUILLAUME,IN PROGRESS,,,NO,,&ROMANOS,2023-11-01,,2023-10-13,,,ROMANOS,,,,,,NO,TAMMY ILER,2039-12-31 00:00:00,,,,YES,FAIL,PASS,,,,,PASS,,,,,0.1
41876,,,,LAS PALAPAS,,,,,NO,,&PALAPAS,2023-10-14,,2023-10-13,,,PALAPAS,,,,,,NO,DAVID BROUSSARD,2039-12-31 00:00:00,,,,YES,FAIL,PASS,,,,,PASS,,,,,0.1
